,loss,acc,val_loss,val_acc
0,0.6118401885032654,0.8541176319122314,0.8389012217521667,0.7407407164573669
1,0.5124304890632629,0.99647057056427,0.7633015513420105,0.805152952671051
2,0.5025554299354553,0.9988235235214233,0.7653345465660095,0.7977455854415894
3,0.5010521411895752,1.0,0.7609509229660034,0.8006440997123718
4,0.494414746761322,1.0,0.7567205429077148,0.8032206296920776
5,0.49876800179481506,1.0,0.7643688917160034,0.7954911589622498
6,0.4972948729991913,1.0,0.7669623494148254,0.7919484972953796
7,0.49853917956352234,0.9988235235214233,0.7554290890693665,0.80257648229599
8,0.4987524449825287,0.9988235235214233,0.7596760392189026,0.7980676293373108
9,0.5341960191726685,0.974117636680603,0.821973979473114,0.7491143345832825
10,0.5143317580223083,0.99647057056427,0.8023862242698669,0.7735909819602966
11,0.5117480158805847,1.0,0.7987309694290161,0.7739130258560181
12,0.5048800706863403,1.0,0.8044291734695435,0.7639291286468506
13,0.5057970881462097,1.0,0.7869466543197632,0.7784218788146973
14,0.5039753317832947,0.9976470470428467,0.7581743001937866,0.8067632913589478
15,0.5025916695594788,1.0,0.7551696300506592,0.8093397617340088
16,0.5024914741516113,0.9988235235214233,0.7553403973579407,0.8067632913589478
17,0.5013771653175354,1.0,0.7616279125213623,0.8003220558166504
18,0.501376211643219,0.99647057056427,0.795961320400238,0.7623188495635986
19,0.5017369389533997,0.9976470470428467,0.7554956674575806,0.8070853352546692
20,0.4960789084434509,1.0,0.7930899858474731,0.7681159377098083
21,0.5000425577163696,0.9988235235214233,0.783879816532135,0.7755233645439148
22,0.49876025319099426,0.9988235235214233,0.7758682370185852,0.7842190265655518
23,0.4995808005332947,1.0,0.7691493630409241,0.7903381586074829
24,0.49831321835517883,0.9988235235214233,0.7628685832023621,0.7954911589622498
25,0.49502673745155334,1.0,0.7601529955863953,0.7993558645248413
26,0.49778562784194946,1.0,0.7536484599113464,0.805152952671051
27,0.8897891044616699,0.6270588040351868,0.8638490438461304,0.6914653778076172
28,0.6360143423080444,0.8600000143051147,0.7932028770446777,0.7867954969406128
29,0.5234279036521912,1.0,0.7884834408760071,0.7983896732330322
